Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
494,0<=X<200,existing paid,radio/tv,X<1000,no known savings,>=7,male single,30<X<=40,skilled,good
495,<0,critical/other existing credit,new car,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,unskilled resident,good
496,<0,existing paid,furniture/equipment,2500<=X<5000,no known savings,1<=X<4,male mar/wid,X<=23,skilled,bad
497,0<=X<200,existing paid,furniture/equipment,5000<=X<10000,100<=X<500,<1,male single,23<X<=30,high qualif/self emp/mgmt,bad
498,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,4<=X<7,male single,30<X<=40,skilled,good
499,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,>=7,male mar/wid,30<X<=40,unskilled resident,good
500,>=200,critical/other existing credit,new car,1000<=X<2500,100<=X<500,>=7,male div/sep,23<X<=30,skilled,good
501,<0,existing paid,new car,2500<=X<5000,<100,<1,female div/dep/mar,23<X<=30,skilled,bad
502,<0,existing paid,used car,5000<=X<10000,<100,>=7,male single,40<X<=50,skilled,good
503,>=200,existing paid,radio/tv,1000<=X<2500,100<=X<500,>=7,male div/sep,40<X<=50,skilled,good
504,0<=X<200,critical/other existing credit,radio/tv,1000<=X<2500,100<=X<500,<1,male single,30<X<=40,skilled,bad
505,<0,existing paid,new car,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,skilled,bad
506,no checking,existing paid,new car,1000<=X<2500,no known savings,1<=X<4,male single,23<X<=30,unskilled resident,bad
507,>=200,critical/other existing credit,used car,1000<=X<2500,500<=X<1000,1<=X<4,male single,30<X<=40,skilled,good
508,0<=X<200,all paid,new car,5000<=X<10000,100<=X<500,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,bad
509,no checking,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male mar/wid,23<X<=30,skilled,good
510,no checking,existing paid,used car,5000<=X<10000,100<=X<500,>=7,male single,40<X<=50,high qualif/self emp/mgmt,good
511,<0,existing paid,new car,X<1000,<100,4<=X<7,male single,23<X<=30,skilled,bad
512,no checking,existing paid,used car,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,high qualif/self emp/mgmt,good
513,>=200,existing paid,business,2500<=X<5000,<100,4<=X<7,male single,23<X<=30,skilled,good
514,0<=X<200,delayed previously,radio/tv,X<1000,<100,1<=X<4,male mar/wid,X<=23,skilled,good
515,no checking,existing paid,new car,1000<=X<2500,no known savings,<1,male single,50<X<=60,skilled,good
516,<0,critical/other existing credit,new car,X<1000,<100,4<=X<7,female div/dep/mar,30<X<=40,skilled,good
517,<0,critical/other existing credit,new car,1000<=X<2500,<100,<1,male single,30<X<=40,unskilled resident,good
518,no checking,critical/other existing credit,furniture/equipment,5000<=X<10000,<100,<1,female div/dep/mar,X<=23,skilled,bad
519,<0,existing paid,new car,1000<=X<2500,100<=X<500,>=7,male single,40<X<=50,skilled,good
520,no checking,critical/other existing credit,radio/tv,X<1000,no known savings,>=7,male single,30<X<=40,skilled,good
521,no checking,critical/other existing credit,repairs,5000<=X<10000,<100,>=7,male single,40<X<=50,skilled,good
522,<0,existing paid,radio/tv,2500<=X<5000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
523,<0,no credits/all paid,furniture/equipment,5000<=X<10000,<100,1<=X<4,male single,50<X<=60,skilled,bad
524,no checking,existing paid,used car,2500<=X<5000,100<=X<500,4<=X<7,female div/dep/mar,X<=23,skilled,good
525,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,unskilled resident,good
526,0<=X<200,existing paid,used car,5000<=X<10000,<100,<1,male single,23<X<=30,skilled,good
527,no checking,critical/other existing credit,education,1000<=X<2500,100<=X<500,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
528,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,4<=X<7,male single,40<X<=50,unskilled resident,good
529,<0,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male div/sep,30<X<=40,skilled,bad
530,<0,existing paid,new car,X<1000,<100,<1,male single,40<X<=50,unskilled resident,good
531,0<=X<200,existing paid,education,1000<=X<2500,<100,4<=X<7,male single,30<X<=40,skilled,good
532,0<=X<200,existing paid,new car,2500<=X<5000,100<=X<500,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
533,no checking,delayed previously,used car,1000<=X<2500,<100,1<=X<4,male mar/wid,40<X<=50,skilled,good
534,no checking,existing paid,radio/tv,1000<=X<2500,100<=X<500,4<=X<7,male mar/wid,23<X<=30,skilled,good
535,no checking,existing paid,radio/tv,2500<=X<5000,no known savings,<1,male single,23<X<=30,skilled,good
536,>=200,critical/other existing credit,education,1000<=X<2500,<100,<1,male div/sep,30<X<=40,skilled,bad
537,<0,existing paid,new car,1000<=X<2500,no known savings,unemployed,female div/dep/mar,X>60,high qualif/self emp/mgmt,good
538,0<=X<200,critical/other existing credit,furniture/equipment,2500<=X<5000,<100,>=7,female div/dep/mar,30<X<=40,skilled,good
539,<0,existing paid,new car,5000<=X<10000,<100,>=7,male single,40<X<=50,high qualif/self emp/mgmt,bad
540,>=200,existing paid,furniture/equipment,2500<=X<5000,<100,<1,female div/dep/mar,40<X<=50,unskilled resident,good
541,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,<1,male mar/wid,X<=23,skilled,bad
542,no checking,delayed previously,new car,1000<=X<2500,<100,>=7,male single,50<X<=60,skilled,good
543,<0,existing paid,furniture/equipment,5000<=X<10000,no known savings,>=7,male single,30<X<=40,skilled,bad
544,>=200,existing paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,unskilled resident,bad
545,no checking,critical/other existing credit,new car,1000<=X<2500,<100,>=7,male single,X>60,unskilled resident,good
546,<0,delayed previously,new car,1000<=X<2500,<100,unemployed,male single,40<X<=50,skilled,bad
547,no checking,critical/other existing credit,new car,1000<=X<2500,<100,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
548,no checking,existing paid,radio/tv,1000<=X<2500,<100,4<=X<7,male single,30<X<=40,skilled,good
549,<0,all paid,radio/tv,X<1000,<100,1<=X<4,female div/dep/mar,23<X<=30,unskilled resident,bad
550,no checking,critical/other existing credit,used car,5000<=X<10000,no known savings,4<=X<7,male single,30<X<=40,skilled,good
551,no checking,critical/other existing credit,repairs,X<1000,no known savings,4<=X<7,female div/dep/mar,X<=23,skilled,good
552,no checking,all paid,radio/tv,1000<=X<2500,500<=X<1000,>=7,male single,40<X<=50,unskilled resident,good
553,<0,existing paid,radio/tv,5000<=X<10000,<100,4<=X<7,male mar/wid,30<X<=40,skilled,bad
554,0<=X<200,critical/other existing credit,new car,1000<=X<2500,100<=X<500,<1,male single,23<X<=30,skilled,good
555,0<=X<200,existing paid,education,1000<=X<2500,<100,4<=X<7,female div/dep/mar,X>60,high qualif/self emp/mgmt,good
556,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,<1,male single,X<=23,skilled,bad
557,0<=X<200,no credits/all paid,new car,1000<=X<2500,100<=X<500,<1,female div/dep/mar,23<X<=30,skilled,bad
558,no checking,no credits/all paid,new car,5000<=X<10000,no known savings,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
559,<0,all paid,furniture/equipment,2500<=X<5000,<100,4<=X<7,male single,23<X<=30,skilled,bad
560,0<=X<200,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,<1,male single,30<X<=40,unskilled resident,bad
561,<0,existing paid,used car,2500<=X<5000,no known savings,>=7,male single,40<X<=50,skilled,good
562,<0,all paid,radio/tv,1000<=X<2500,<100,4<=X<7,male single,23<X<=30,unskilled resident,bad
563,>=200,delayed previously,radio/tv,X<1000,<100,<1,female div/dep/mar,23<X<=30,skilled,good
564,0<=X<200,existing paid,new car,X>=10000,no known savings,1<=X<4,male single,30<X<=40,skilled,bad
565,0<=X<200,delayed previously,business,2500<=X<5000,no known savings,1<=X<4,male single,30<X<=40,high qualif/self emp/mgmt,good
566,0<=X<200,delayed previously,radio/tv,1000<=X<2500,100<=X<500,4<=X<7,female div/dep/mar,X<=23,skilled,good
567,<0,existing paid,new car,1000<=X<2500,<100,4<=X<7,male div/sep,30<X<=40,skilled,bad
568,no checking,critical/other existing credit,radio/tv,2500<=X<5000,>=1000,>=7,male single,30<X<=40,skilled,good
569,0<=X<200,existing paid,radio/tv,2500<=X<5000,no known savings,4<=X<7,male single,40<X<=50,skilled,good
570,<0,existing paid,radio/tv,5000<=X<10000,<100,1<=X<4,female div/dep/mar,30<X<=40,skilled,bad
571,<0,existing paid,furniture/equipment,2500<=X<5000,<100,<1,female div/dep/mar,X<=23,unskilled resident,bad
572,no checking,critical/other existing credit,radio/tv,5000<=X<10000,<100,4<=X<7,male single,30<X<=40,skilled,good
573,no checking,existing paid,used car,5000<=X<10000,no known savings,unemployed,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,good
574,<0,existing paid,business,X<1000,<100,1<=X<4,female div/dep/mar,X<=23,unskilled resident,good
575,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,>=7,male single,23<X<=30,unskilled resident,good
576,no checking,critical/other existing credit,furniture/equipment,2500<=X<5000,<100,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
577,0<=X<200,existing paid,radio/tv,2500<=X<5000,<100,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
578,no checking,critical/other existing credit,education,1000<=X<2500,no known savings,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
579,0<=X<200,critical/other existing credit,new car,2500<=X<5000,<100,<1,male div/sep,23<X<=30,skilled,bad
580,no checking,existing paid,retraining,X<1000,<100,<1,male mar/wid,23<X<=30,unskilled resident,good
581,0<=X<200,critical/other existing credit,new car,1000<=X<2500,<100,>=7,male single,23<X<=30,skilled,bad
582,0<=X<200,critical/other existing credit,new car,2500<=X<5000,<100,<1,male single,40<X<=50,unskilled resident,good
583,no checking,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
584,0<=X<200,existing paid,repairs,1000<=X<2500,<100,<1,male single,30<X<=40,unskilled resident,bad
585,no checking,existing paid,new car,1000<=X<2500,no known savings,>=7,female div/dep/mar,50<X<=60,high qualif/self emp/mgmt,good
586,<0,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,female div/dep/mar,X<=23,skilled,bad
587,<0,critical/other existing credit,new car,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,skilled,good
588,<0,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,X<=23,unskilled resident,good
589,<0,existing paid,domestic appliance,1000<=X<2500,<100,1<=X<4,male mar/wid,40<X<=50,unskilled resident,bad
590,<0,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,>=7,male single,50<X<=60,skilled,bad
591,<0,critical/other existing credit,radio/tv,X<1000,<100,4<=X<7,female div/dep/mar,50<X<=60,unskilled resident,good
592,0<=X<200,delayed previously,new car,1000<=X<2500,no known savings,1<=X<4,female div/dep/mar,40<X<=50,skilled,good
593,no checking,existing paid,business,1000<=X<2500,>=1000,>=7,female div/dep/mar,30<X<=40,unskilled resident,good
594,0<=X<200,existing paid,new car,2500<=X<5000,<100,1<=X<4,female div/dep/mar,X<=23,unskilled resident,bad
595,<0,all paid,other,X>=10000,no known savings,>=7,male single,30<X<=40,high qualif/self emp/mgmt,bad
596,0<=X<200,all paid,new car,X<1000,100<=X<500,<1,female div/dep/mar,30<X<=40,unskilled resident,bad
597,<0,existing paid,new car,1000<=X<2500,<100,4<=X<7,female div/dep/mar,X<=23,skilled,bad
598,0<=X<200,no credits/all paid,business,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,unskilled resident,bad
599,no checking,critical/other existing credit,new car,2500<=X<5000,<100,4<=X<7,male single,30<X<=40,skilled,bad
600,no checking,delayed previously,business,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,skilled,good
601,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,40<X<=50,skilled,good
602,0<=X<200,existing paid,furniture/equipment,X<1000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
603,0<=X<200,all paid,education,1000<=X<2500,<100,4<=X<7,female div/dep/mar,30<X<=40,unskilled resident,bad
604,no checking,existing paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,bad
605,>=200,existing paid,furniture/equipment,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,good
606,<0,all paid,furniture/equipment,2500<=X<5000,500<=X<1000,1<=X<4,male single,X<=23,skilled,good
607,no checking,critical/other existing credit,business,2500<=X<5000,<100,1<=X<4,male single,X>60,high qualif/self emp/mgmt,good
608,0<=X<200,existing paid,radio/tv,2500<=X<5000,100<=X<500,1<=X<4,female div/dep/mar,40<X<=50,skilled,bad
609,no checking,existing paid,radio/tv,1000<=X<2500,<100,<1,male single,30<X<=40,skilled,good
610,no checking,existing paid,used car,1000<=X<2500,no known savings,>=7,male single,40<X<=50,skilled,good
611,<0,existing paid,domestic appliance,X<1000,100<=X<500,unemployed,female div/dep/mar,X<=23,skilled,bad
612,>=200,existing paid,new car,1000<=X<2500,100<=X<500,>=7,female div/dep/mar,40<X<=50,unskilled resident,bad
613,<0,existing paid,radio/tv,2500<=X<5000,>=1000,<1,female div/dep/mar,23<X<=30,skilled,good
614,<0,all paid,used car,2500<=X<5000,<100,1<=X<4,female div/dep/mar,X<=23,skilled,good
615,no checking,delayed previously,furniture/equipment,1000<=X<2500,<100,4<=X<7,female div/dep/mar,X<=23,skilled,bad
616,0<=X<200,no credits/all paid,business,X>=10000,no known savings,1<=X<4,male single,40<X<=50,high qualif/self emp/mgmt,good
617,0<=X<200,delayed previously,radio/tv,5000<=X<10000,no known savings,1<=X<4,male single,23<X<=30,high qualif/self emp/mgmt,good
618,<0,critical/other existing credit,new car,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,skilled,good
619,0<=X<200,existing paid,furniture/equipment,2500<=X<5000,100<=X<500,1<=X<4,female div/dep/mar,X<=23,skilled,bad
620,no checking,existing paid,new car,X<1000,<100,1<=X<4,male div/sep,40<X<=50,unskilled resident,good
621,0<=X<200,critical/other existing credit,business,2500<=X<5000,<100,4<=X<7,male single,23<X<=30,skilled,good
622,no checking,critical/other existing credit,new car,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,skilled,bad
623,no checking,existing paid,business,2500<=X<5000,no known savings,1<=X<4,male div/sep,30<X<=40,skilled,bad
624,<0,existing paid,furniture/equipment,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,good
625,<0,existing paid,radio/tv,2500<=X<5000,<100,1<=X<4,male single,X>60,skilled,bad
626,no checking,existing paid,radio/tv,1000<=X<2500,no known savings,>=7,male single,30<X<=40,skilled,good
627,>=200,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,40<X<=50,skilled,good
628,0<=X<200,all paid,new car,1000<=X<2500,100<=X<500,4<=X<7,male single,23<X<=30,skilled,bad
629,no checking,critical/other existing credit,furniture/equipment,2500<=X<5000,500<=X<1000,1<=X<4,male single,30<X<=40,skilled,good
630,no checking,existing paid,education,2500<=X<5000,no known savings,>=7,male single,X>60,unskilled resident,good
631,<0,existing paid,radio/tv,2500<=X<5000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
632,<0,all paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,40<X<=50,skilled,bad
633,0<=X<200,existing paid,radio/tv,1000<=X<2500,no known savings,<1,male single,X<=23,skilled,good
634,no checking,existing paid,furniture/equipment,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,bad
635,0<=X<200,existing paid,new car,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,unskilled resident,bad
636,no checking,existing paid,education,1000<=X<2500,<100,>=7,male single,40<X<=50,skilled,good
637,no checking,existing paid,radio/tv,1000<=X<2500,500<=X<1000,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
638,no checking,delayed previously,radio/tv,X>=10000,<100,4<=X<7,male single,X<=23,skilled,good
639,no checking,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,30<X<=40,skilled,good
640,<0,delayed previously,radio/tv,2500<=X<5000,<100,4<=X<7,male single,23<X<=30,skilled,bad
641,<0,existing paid,education,X<1000,<100,unemployed,female div/dep/mar,23<X<=30,unemp/unskilled non res,bad
642,0<=X<200,existing paid,repairs,1000<=X<2500,<100,>=7,male single,30<X<=40,unskilled resident,good
643,no checking,existing paid,education,2500<=X<5000,100<=X<500,1<=X<4,male single,30<X<=40,high qualif/self emp/mgmt,bad
644,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,4<=X<7,male mar/wid,30<X<=40,skilled,good
645,<0,critical/other existing credit,radio/tv,1000<=X<2500,<100,4<=X<7,male mar/wid,30<X<=40,high qualif/self emp/mgmt,good
646,no checking,delayed previously,business,5000<=X<10000,no known savings,<1,male single,23<X<=30,skilled,bad
647,<0,no credits/all paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,male div/sep,30<X<=40,skilled,good
648,no checking,existing paid,new car,X>=10000,500<=X<1000,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
649,>=200,existing paid,new car,X<1000,<100,4<=X<7,male single,30<X<=40,skilled,bad
650,<0,existing paid,education,X<1000,<100,1<=X<4,male single,30<X<=40,unskilled resident,bad
651,<0,existing paid,education,5000<=X<10000,<100,4<=X<7,male single,40<X<=50,high qualif/self emp/mgmt,good
652,0<=X<200,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,unskilled resident,bad
653,<0,existing paid,new car,1000<=X<2500,<100,>=7,male single,40<X<=50,skilled,bad
654,0<=X<200,delayed previously,new car,5000<=X<10000,100<=X<500,>=7,male single,40<X<=50,high qualif/self emp/mgmt,bad
655,no checking,critical/other existing credit,used car,1000<=X<2500,<100,4<=X<7,male single,30<X<=40,skilled,good
656,<0,existing paid,new car,2500<=X<5000,<100,unemployed,male single,X<=23,skilled,good
657,0<=X<200,existing paid,new car,X<1000,<100,>=7,male single,40<X<=50,unskilled resident,bad
658,no checking,existing paid,radio/tv,X>=10000,no known savings,4<=X<7,male single,30<X<=40,skilled,good
659,0<=X<200,no credits/all paid,business,2500<=X<5000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
660,0<=X<200,critical/other existing credit,furniture/equipment,5000<=X<10000,<100,>=7,male single,40<X<=50,skilled,good
661,>=200,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male mar/wid,X<=23,skilled,good
662,<0,existing paid,new car,X<1000,no known savings,1<=X<4,male mar/wid,X<=23,skilled,bad
663,no checking,existing paid,furniture/equipment,1000<=X<2500,<100,>=7,male single,40<X<=50,skilled,good
664,0<=X<200,delayed previously,furniture/equipment,1000<=X<2500,<100,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,good
665,>=200,critical/other existing credit,education,1000<=X<2500,<100,1<=X<4,female div/dep/mar,40<X<=50,unskilled resident,good
666,no checking,critical/other existing credit,other,5000<=X<10000,<100,unemployed,male single,23<X<=30,high qualif/self emp/mgmt,good
667,0<=X<200,all paid,furniture/equipment,2500<=X<5000,>=1000,1<=X<4,male single,30<X<=40,skilled,good
668,no checking,all paid,business,2500<=X<5000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
669,<0,critical/other existing credit,new car,2500<=X<5000,<100,>=7,male single,40<X<=50,skilled,bad
670,>=200,critical/other existing credit,radio/tv,2500<=X<5000,<100,>=7,male single,40<X<=50,skilled,good
671,no checking,critical/other existing credit,business,2500<=X<5000,100<=X<500,1<=X<4,male single,23<X<=30,unskilled resident,good
672,no checking,existing paid,business,5000<=X<10000,100<=X<500,4<=X<7,male single,30<X<=40,skilled,good
673,no checking,existing paid,new car,X>=10000,<100,>=7,male single,40<X<=50,high qualif/self emp/mgmt,good
674,no checking,critical/other existing credit,new car,1000<=X<2500,500<=X<1000,1<=X<4,male mar/wid,23<X<=30,skilled,good
675,no checking,delayed previously,business,2500<=X<5000,500<=X<1000,<1,male single,40<X<=50,unskilled resident,bad
676,no checking,critical/other existing credit,radio/tv,2500<=X<5000,<100,4<=X<7,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,good
677,no checking,critical/other existing credit,furniture/equipment,5000<=X<10000,<100,>=7,male single,30<X<=40,skilled,good
678,0<=X<200,existing paid,radio/tv,5000<=X<10000,100<=X<500,1<=X<4,male mar/wid,23<X<=30,skilled,bad
679,<0,existing paid,radio/tv,1000<=X<2500,<100,>=7,male single,X>60,unskilled resident,good
680,no checking,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,skilled,good
681,no checking,existing paid,education,1000<=X<2500,<100,<1,female div/dep/mar,50<X<=60,skilled,good
682,no checking,existing paid,radio/tv,1000<=X<2500,no known savings,1<=X<4,male single,30<X<=40,skilled,good
683,no checking,delayed previously,radio/tv,1000<=X<2500,<100,1<=X<4,male mar/wid,30<X<=40,skilled,good
684,no checking,critical/other existing credit,radio/tv,5000<=X<10000,<100,<1,male mar/wid,40<X<=50,skilled,good
685,0<=X<200,delayed previously,business,5000<=X<10000,100<=X<500,4<=X<7,male single,30<X<=40,unskilled resident,good
686,no checking,existing paid,new car,5000<=X<10000,no known savings,1<=X<4,male single,30<X<=40,skilled,good
687,>=200,critical/other existing credit,radio/tv,1000<=X<2500,no known savings,4<=X<7,male single,23<X<=30,skilled,good
688,0<=X<200,delayed previously,new car,2500<=X<5000,100<=X<500,>=7,male single,23<X<=30,skilled,good
689,no checking,existing paid,radio/tv,2500<=X<5000,100<=X<500,>=7,male single,30<X<=40,skilled,good
690,<0,existing paid,new car,2500<=X<5000,>=1000,1<=X<4,male single,30<X<=40,skilled,good
691,<0,critical/other existing credit,furniture/equipment,X<1000,<100,1<=X<4,male div/sep,23<X<=30,skilled,good
692,0<=X<200,existing paid,repairs,2500<=X<5000,100<=X<500,1<=X<4,female div/dep/mar,23<X<=30,unskilled resident,good
693,0<=X<200,existing paid,radio/tv,2500<=X<5000,100<=X<500,<1,male single,23<X<=30,skilled,good
694,<0,critical/other existing credit,new car,2500<=X<5000,no known savings,<1,male single,40<X<=50,unskilled resident,good
695,no checking,existing paid,radio/tv,1000<=X<2500,<100,4<=X<7,male single,23<X<=30,skilled,good
696,no checking,existing paid,used car,1000<=X<2500,500<=X<1000,1<=X<4,male single,40<X<=50,skilled,good
697,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,4<=X<7,male single,23<X<=30,skilled,good
698,no checking,critical/other existing credit,new car,X<1000,<100,unemployed,female div/dep/mar,30<X<=40,unemp/unskilled non res,good
699,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,skilled,good
700,>=200,existing paid,education,1000<=X<2500,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
701,no checking,existing paid,furniture/equipment,1000<=X<2500,500<=X<1000,1<=X<4,female div/dep/mar,23<X<=30,unskilled resident,bad
702,<0,critical/other existing credit,used car,5000<=X<10000,<100,>=7,male single,40<X<=50,skilled,bad
703,>=200,existing paid,radio/tv,1000<=X<2500,100<=X<500,>=7,female div/dep/mar,40<X<=50,skilled,good
704,0<=X<200,delayed previously,business,2500<=X<5000,100<=X<500,>=7,male single,40<X<=50,skilled,good
705,0<=X<200,existing paid,business,2500<=X<5000,<100,<1,female div/dep/mar,30<X<=40,skilled,good
706,no checking,existing paid,new car,5000<=X<10000,500<=X<1000,>=7,female div/dep/mar,30<X<=40,skilled,good
707,0<=X<200,existing paid,new car,5000<=X<10000,100<=X<500,4<=X<7,male single,23<X<=30,skilled,bad
708,0<=X<200,no credits/all paid,furniture/equipment,2500<=X<5000,<100,<1,female div/dep/mar,23<X<=30,skilled,bad
709,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,>=7,female div/dep/mar,23<X<=30,skilled,good
710,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,unskilled resident,good
711,no checking,critical/other existing credit,radio/tv,X<1000,500<=X<1000,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
712,<0,all paid,education,1000<=X<2500,<100,>=7,female div/dep/mar,30<X<=40,skilled,bad
713,no checking,existing paid,used car,1000<=X<2500,no known savings,>=7,male single,40<X<=50,high qualif/self emp/mgmt,good
714,<0,critical/other existing credit,radio/tv,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,unskilled resident,good
715,0<=X<200,existing paid,new car,X>=10000,<100,4<=X<7,male single,23<X<=30,high qualif/self emp/mgmt,bad
716,no checking,critical/other existing credit,used car,5000<=X<10000,no known savings,>=7,male single,X>60,skilled,good
717,no checking,critical/other existing credit,radio/tv,2500<=X<5000,no known savings,>=7,male single,30<X<=40,skilled,good
718,no checking,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,30<X<=40,high qualif/self emp/mgmt,good
719,>=200,critical/other existing credit,radio/tv,2500<=X<5000,no known savings,1<=X<4,male single,30<X<=40,skilled,good
720,0<=X<200,no credits/all paid,used car,5000<=X<10000,100<=X<500,>=7,male mar/wid,30<X<=40,skilled,good
721,>=200,no credits/all paid,radio/tv,1000<=X<2500,<100,<1,male single,30<X<=40,high qualif/self emp/mgmt,bad
722,0<=X<200,all paid,education,X<1000,>=1000,<1,female div/dep/mar,23<X<=30,skilled,bad
723,<0,existing paid,new car,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,unskilled resident,bad
724,0<=X<200,existing paid,radio/tv,X<1000,500<=X<1000,1<=X<4,female div/dep/mar,X>60,unskilled resident,good
725,no checking,existing paid,new car,2500<=X<5000,<100,1<=X<4,female div/dep/mar,X<=23,skilled,bad
726,no checking,critical/other existing credit,new car,X<1000,>=1000,1<=X<4,female div/dep/mar,40<X<=50,unskilled resident,good
727,no checking,critical/other existing credit,radio/tv,1000<=X<2500,500<=X<1000,1<=X<4,male mar/wid,40<X<=50,unskilled resident,good
728,<0,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
729,0<=X<200,all paid,business,5000<=X<10000,<100,>=7,female div/dep/mar,50<X<=60,skilled,bad
730,>=200,critical/other existing credit,business,1000<=X<2500,>=1000,1<=X<4,male div/sep,30<X<=40,skilled,good
731,0<=X<200,delayed previously,radio/tv,5000<=X<10000,<100,<1,male single,30<X<=40,skilled,good
732,<0,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,male single,X<=23,unskilled resident,bad
733,0<=X<200,existing paid,radio/tv,X<1000,<100,4<=X<7,female div/dep/mar,40<X<=50,unskilled resident,good
734,no checking,existing paid,used car,2500<=X<5000,>=1000,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
735,no checking,critical/other existing credit,new car,2500<=X<5000,<100,4<=X<7,female div/dep/mar,30<X<=40,skilled,good
736,0<=X<200,all paid,domestic appliance,2500<=X<5000,no known savings,<1,female div/dep/mar,23<X<=30,unemp/unskilled non res,good
737,0<=X<200,existing paid,used car,X>=10000,<100,1<=X<4,female div/dep/mar,X<=23,high qualif/self emp/mgmt,bad
738,<0,existing paid,new car,2500<=X<5000,100<=X<500,1<=X<4,male single,30<X<=40,unskilled resident,good
739,no checking,critical/other existing credit,new car,5000<=X<10000,<100,4<=X<7,male single,40<X<=50,high qualif/self emp/mgmt,good
740,0<=X<200,no credits/all paid,business,2500<=X<5000,100<=X<500,1<=X<4,female div/dep/mar,23<X<=30,unskilled resident,bad
741,<0,all paid,new car,1000<=X<2500,100<=X<500,4<=X<7,male single,30<X<=40,skilled,good
